firstname,birthdate,salary
Libbie,2011-04-25,26752
Daphne,1996-10-03,91283
Rhea,1972-09-03,32049
Jobi,1998-03-06,9727
Consuela,1974-01-30,67481
Christy,2009-07-19,45089
Alia,1973-04-09,98258
Rosaline,1977-09-21,99209
Deane,2014-01-01,36754
Dorene,1981-07-16,98111
Cordi,1974-12-30,65862
Dione,2001-06-25,26130
Bernardine,2017-09-03,66557
Michaelina,1994-03-24,39818
Minda,1977-02-03,81051
Darlleen,1989-09-19,41979
Merry,2012-12-02,99708
Chloris,2000-05-12,53182
Madeleine,1984-04-16,78292
Valera,1999-09-27,72605
Sadie,1970-07-28,39696
Dacia,2000-02-15,66741
Sadie,1971-07-12,32665
Sindee,1980-05-08,86086
Edyth,2006-07-24,14644
Vere,1986-01-01,14705
Suzette,1987-12-03,72224
Amelia,1994-03-22,26940
Lilith,1987-12-17,62424
Karlee,1974-10-02,26999
Bobinette,2005-09-24,63825
Alex,1976-11-05,14065
Willetta,1971-06-09,78390
Lorenza,2006-08-13,14526
Aryn,1998-01-19,7505
Alex,2014-07-26,57691
Shirlee,2019-10-04,8488
Althea,2000-05-12,29844
Luci,1995-10-09,98441
Nanete,1977-11-09,93800
Shaine,1983-05-17,43844
Danika,1995-12-08,52582
Rubie,2012-07-22,98012
Alejandra,1998-05-20,90300
Kayla,1981-01-09,38451
Florencia,2016-06-25,51715
Modestia,2013-03-06,18178
Chandra,1976-05-05,14495
Gwyneth,2007-08-30,53797
Charmaine,2012-04-24,74928
Rosaline,2013-03-03,48062
Candi,1990-09-12,27222
Calla,1981-08-12,31096
Di,2012-12-11,33165
Alex,2004-02-11,7963
Belinda,1985-11-12,98320
Cherilyn,2017-02-20,31717
Brietta,2012-02-25,88667
Petronia,1998-10-25,93004
Iseabal,2005-04-14,47956
Judy,2002-05-18,74571
Joleen,1987-04-25,35999
Deedee,2017-10-09,69924
Edee,2016-05-30,88390
